,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
21,1214,Matt,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,31/12/18,60,Average,Somewhat safe,Somewhat satsified,Value3
22,1373,Jennifer,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,31/12/18,145,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
23,1263,Jennifer,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,31/12/18,210,Average,Neutral,Neutral,Value2
24,2723,George,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,160,Somewhat clean,Very safe,Somewhat satsified,Value3
25,3097,Jennifer,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,31/12/18,604,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
27,214,George,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,100,Average,Somewhat safe,Somewhat satsified,Value2
28,1372,George,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,31/12/18,205,Somewhat clean,Very safe,Somewhat satsified,Value3
29,1956,Ann,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,31/12/18,115,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
30,1716,Ann,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,510,Clean,Neutral,Very satisfied,Value2
31,1487,Sam,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,31/12/18,135,Clean,Very safe,Somewhat satsified,Value3
32,842,Ann,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,31/12/18,145,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
33,930,Ann,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,270,Average,Somewhat safe,Somewhat satsified,Value3
34,3064,Ann,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,31/12/18,173,Average,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
35,743,Matt,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,100,Somewhat clean,Very safe,Somewhat satsified,Value3
36,2099,Ann,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,31/12/18,190,Clean,Very safe,Neutral,Value2
37,315,Ann,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,31/12/18,92,Somewhat clean,Very safe,Somewhat satsified,Value2
38,2216,Jennifer,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,31/12/18,135,Somewhat clean,Very safe,Very satisfied,Value2
39,3121,Sam,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,125,Clean,Very safe,Neutral,Value2
41,2890,Matt,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,31/12/18,145,Average,Neutral,Somewhat satsified,Value2
42,3046,Jennifer,Tuesday,AMERICAN,LOS ANGELES,West US,Hub     ,Gates 50-59,31/12/18,120,Average,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
43,3183,Jennifer,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,900,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
44,2288,George,Tuesday,UNITED,SAN ANTONIO,Midwest US,    Medium,Gates 70-90,31/12/18,150,Clean,Very safe,Very satisfied,Value2
45,2740,Sam,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,31/12/18,330,Average,Very unsafe,Somewhat satsified,Value3
46,1570,Jennifer,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,31/12/18,150,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
47,3228,Jennifer,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,110,Clean,Very safe,Somewhat satsified,Value2
48,1140,George,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,415,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
49,349,George,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,31/12/18,76,Clean,Very safe,Very satisfied,Value2
50,1572,Matt,Wednesday,UNITED INTL,HONG KONG,Asia,Hub,Gates 91-102,31/12/18,150,Somewhat clean,Neutral,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
52,1635,Sam,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,31/12/18,210,Somewhat dirty,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
56,524,George,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,165,Somewhat clean,Somewhat safe,Neutral,Value3
57,1139,Sam,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,120,Average,Very safe,Somewhat satsified,Value3
58,314,George,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,31/12/18,122,Clean,Very safe,Very satisfied,Value2
59,558,Ann,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,225,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
60,262,Jennifer,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,175,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
61,2537,Matt,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,    Hub,Gates 60-69,31/12/18,115,Clean,Very safe,Very satisfied,Value3
62,1713,Sam,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,135,Average,Very safe,Somewhat satsified,Value2
63,407,Sam,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,31/12/18,110,Clean,Very safe,Somewhat satsified,Value2
64,3212,Sam,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,90,Somewhat clean,Somewhat safe,Somewhat unsatisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
65,450,Ann,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,31/12/18,68,Clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
66,1477,Sam,Wednesday,AVIANCA,SAN SALVADOR,Central/South America,Small,Gates 1-12,31/12/18,155,Clean,Very safe,Very satisfied,Value3
67,3151,Jennifer,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,31/12/18,15,Average,Very safe,Neutral,Value3
68,2257,Jennifer,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,31/12/18,65,Clean,Very safe,Very satisfied,Value3
69,2400,George,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,31/12/18,205,Clean,Very safe,Somewhat satsified,Value3
70,2230,George,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,300,Average,Somewhat safe,Neutral,Value2
71,2865,Matt,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,31/12/18,77,Average,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
72,387,Matt,Friday,ALASKA,INDIANAPOLIS,Midwest US,    Medium,Gates 50-59,31/12/18,160,Clean,Very safe,Very satisfied,Value3
73,1957,Jennifer,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,31/12/18,185,Somewhat clean,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
74,2526,Matt,Tuesday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,60,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
75,3041,Matt,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,31/12/18,185,Somewhat clean,Very safe,Somewhat satsified,Value3
76,813,Ann,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,140,Somewhat clean,Very safe,Somewhat satsified,Value2
77,1523,George,Wednesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,31/12/18,81,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
78,2796,Jennifer,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,31/12/18,160,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
79,3255,Ann,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,31/12/18,105,Average,Somewhat safe,Neutral,Value2
80,2042,George,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,31/12/18,180,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
81,3062,Ann,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/18,215,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
82,2026,Sam,Friday,BRITISH AIRWAYS,LONDON HEATHROW,Europe,Hub,Gates 1-12,31/12/18,120,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
83,1793,Jennifer,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,31/12/18,150,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
84,1366,Ann,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,31/12/18,170,Clean,Very safe,Somewhat satsified,Value3
85,1017,Ann,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,110,Somewhat clean,Very safe,Somewhat satsified,Value2
86,2501,Sam,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,31/12/18,120,Somewhat clean,Neutral,Somewhat satsified,Value2
88,3202,Matt,Sunday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,1/1/18,210,Clean,Neutral,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
89,1747,Sam,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,31/12/18,205,Clean,Very safe,Very satisfied,Value3
90,1954,Ann,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,245,Clean,Very safe,Very satisfied,Value2
91,643,George,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,31/12/18,160,Somewhat clean,Neutral,Somewhat satsified,Value3
93,2258,Sam,Wednesday,WOW,REYKJAVIK,Europe,Small,Gates 91-102,31/12/18,355,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
94,2334,Jennifer,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,155,Clean,Very safe,Very satisfied,Value3
95,1887,George,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,31/12/18,85,Somewhat clean,Neutral,Neutral,Value3
97,363,Matt,Friday,LUFTHANSA,FRANKFURT,Europe,Hub,Gates 91-102,31/12/18,180,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
99,2443,Sam,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,177,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
100,2321,Matt,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,130,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
101,1593,George,Thursday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,50,Clean,Very safe,Very satisfied,Value2
103,716,George,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,270,Clean,Very safe,Very satisfied,Value2
104,2320,Sam,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,31/12/18,150,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
106,2038,Sam,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,31/12/18,150,Average,Somewhat safe,Neutral,Value3
107,550,George,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,245,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
108,746,Matt,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,120,Clean,Very safe,Very satisfied,Value3
109,2739,Matt,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,31/12/18,32,Somewhat clean,Very safe,Somewhat satsified,Value2
110,1984,Sam,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,31/12/18,115,Average,Neutral,Somewhat unsatisfied,Value3
111,2566,Ann,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,103,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
112,2200,Jennifer,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,180,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
113,340,Jennifer,Wednesday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,31/12/18,240,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
114,1252,Matt,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,31/12/18,120,Somewhat clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
115,1946,Ann,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,305,Clean,Very safe,Neutral,Value2
116,2627,Matt,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,75,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
117,1563,Jennifer,Wednesday,DELTA,ATLANTA,East US,Hub,Gates 40-48,31/12/18,135,Somewhat clean,Somewhat safe,Neutral,Value2
118,752,Ann,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,235,Somewhat clean,Somewhat safe,Neutral,Value3
120,3135,Matt,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,31/12/18,70,Somewhat clean,Very safe,Somewhat satsified,Value3
121,1123,Matt,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,90,Somewhat clean,Very safe,Somewhat satsified,Value3
122,2220,Matt,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,31/12/18,95,Somewhat clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
123,3065,Ann,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,31/12/18,112,Average,Neutral,Neutral,Value2
124,3052,Ann,Tuesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,31/12/18,125,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
125,2847,Matt,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,31/12/18,142,Average,Very safe,Somewhat satsified,Value2
127,884,Matt,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,85,Clean,Very safe,Very satisfied,Value3
128,2054,Sam,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,150,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
129,1571,Jennifer,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,31/12/18,155,Somewhat clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
130,747,Sam,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,120,Somewhat clean,Very safe,Very satisfied,Value2
132,1799,George,Sunday,ALASKA,RALEIGH-DURHAM,EAST US,    Medium,Gates 50-59,31/12/18,265,Somewhat clean,Neutral,Somewhat satsified,Value2
134,2281,Matt,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,31/12/18,225,Average,Neutral,Somewhat unsatisfied,Value3
135,2711,Jennifer,Friday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,31/12/18,122,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
136,917,Jennifer,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,90,Somewhat clean,Somewhat safe,Neutral,Value2
137,2091,Ann,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,31/12/18,97,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
139,265,Matt,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,31/12/18,415,Average,Neutral,Neutral,Value3
140,2387,Matt,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,31/12/18,135,Somewhat clean,Neutral,Neutral,Value3
141,3254,George,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,31/12/18,150,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
142,772,Ann,Thursday,UNITED INTL,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 91-102,31/12/18,90,Somewhat clean,Very safe,Very satisfied,Value3
143,465,George,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,31/12/18,131,Average,Somewhat safe,Somewhat satsified,Value2
144,374,George,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,31/12/18,105,Somewhat clean,Neutral,Somewhat satsified,Value2
145,367,Jennifer,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,31/12/18,135,Somewhat clean,Very safe,Somewhat satsified,Value3
146,2113,Ann,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,514,Average,Somewhat safe,Somewhat satsified,Value2
148,1970,Ann,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,185,Clean,Very safe,Somewhat satsified,Value3
149,1012,Matt,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,185,Clean,Very safe,Somewhat satsified,Value2
150,1739,Matt,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,75,Somewhat clean,Somewhat safe,Very satisfied,Value2
151,2004,Sam,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,170,Somewhat clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
152,2016,Ann,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,98,Clean,Very safe,Somewhat satsified,Value3
153,2262,Sam,Saturday,UNITED,BAKERSFIELD,West US,    Small,Gates 70-90,31/12/18,166,Somewhat dirty,Very safe,Somewhat unsatisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
154,2482,Jennifer,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,31/12/18,90,Somewhat clean,Neutral,Somewhat unsatisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
155,2969,Ann,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,31/12/18,65,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
156,2575,Sam,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,90,Clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
157,637,Ann,Thursday,ALASKA,NEW ORLEANS,Midwest US,Medium,Gates 50-59,31/12/18,110,Clean,Very safe,Very satisfied,Value3
158,2497,Matt,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,139,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
160,1724,George,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,150,Clean,Very safe,Very satisfied,Value2
161,805,Sam,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,160,Somewhat clean,Very safe,Neutral,Value2
162,3169,Matt,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,60,Average,Very safe,Somewhat satsified,Value2
163,1090,George,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub     ,Gates 40-48,31/12/18,105,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
164,270,George,Thursday,UNITED,LOS ANGELES,West US,    Hub,Gates 70-90,31/12/18,130,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
165,569,Matt,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,105,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
166,2319,George,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,31/12/18,220,Average,Very safe,Somewhat unsatisfied,Value2
167,3223,Ann,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,60,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
168,2922,Ann,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,31/12/18,105,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
169,13,Matt,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,90,Average,Somewhat safe,Somewhat satsified,Value2
170,1719,Matt,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,31/12/18,510,Average,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
171,3186,Jennifer,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,53,Average,Somewhat safe,Somewhat satsified,Value3
172,2157,Matt,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,31/12/18,153,Clean,Very safe,Very satisfied,Value2
