CustomerID,Recency,Frequency,Monetary
13497,283,19,348.05
13503,72,17,216.85
13504,65,22,295.93
13506,317,26,458.52
13508,244,12,110.97
13512,261,15,251.21
13513,127,10,205.1
13514,74,4,152.2
13519,79,8,122.75
13522,31,5,125.8
13525,15,6,628.78
13529,79,15,307.76
13531,206,22,483.8
13551,320,4,91.8
13561,216,14,141.86
13568,174,44,192.85
13570,244,27,239.49
13581,310,10,118.0
13584,307,24,142.4
13587,64,8,712.4
13592,36,16,247.96
13600,313,19,219.52
13615,319,23,417.69
13618,174,13,177.34
13621,117,19,213.85
13626,253,19,257.23
13638,16,8,122.64
13645,121,5,252.1
13649,257,23,346.6
13651,36,6,94.2
13663,180,13,189.47
13666,61,12,84.65
13669,51,9,218.55
13670,76,25,349.7
13672,302,6,186.39
13675,152,25,486.82
13678,152,16,232.6
13682,188,3,59.5
13684,286,30,67.23
13686,183,8,72.0
13689,64,6,910.0
13690,60,9,172.25
13697,39,12,151.3
13699,156,14,308.58
13703,319,1,99.5
13706,303,20,330.79
13708,272,51,296.88
13710,32,8,180.48
13711,219,13,252.06
13712,247,10,228.84
13716,270,21,138.28
13718,247,12,306.55
13723,218,6,199.85
13737,201,30,339.6
13739,19,3,216.9
13740,241,23,350.75
13745,163,25,300.04
13747,374,1,79.6
13751,289,9,296.25
13754,152,12,282.6
13762,219,7,306.72
13774,82,22,345.0
13778,104,9,178.7
13781,251,17,127.84
13786,368,7,230.4
13791,128,11,1516.0
13792,67,13,195.55
13800,310,33,558.32
13801,67,23,324.8
13803,256,17,277.07
13806,64,10,256.38
13807,368,7,112.6
13826,177,10,189.5
13828,23,15,209.49
13832,20,3,52.2
13833,160,29,384.8
13837,212,19,271.24
13841,253,1,85.0
13845,65,9,312.98
13848,93,5,1255.0
13856,169,14,388.5
13858,58,11,216.17
13859,327,28,201.16
13863,248,20,305.78
13866,75,7,145.67
13873,120,23,389.6
13874,359,18,540.45
13876,64,7,122.7
13877,87,3,117.24
13885,190,28,506.8
13886,72,16,243.56
13887,205,19,349.55
13889,93,15,416.9
13893,298,21,821.1
13897,51,17,311.16
13898,326,12,155.93
13917,50,18,272.04
13922,352,7,172.25
13923,54,20,351.13
13926,24,11,223.85
13927,75,21,348.99
13929,170,9,842.65
13930,58,17,337.34
13932,295,16,307.4
13936,180,26,376.58
13937,170,9,158.85
13938,36,7,71.66
13946,80,11,561.57
13947,66,5,90.6
13948,361,3,102.0
13955,155,33,322.96
13960,22,12,230.22
13962,22,11,169.55
13963,309,35,664.54
13967,146,2,80.7
13972,71,15,190.25
13973,288,11,264.7
13976,207,10,357.98
13978,15,15,196.79
13980,61,11,200.14
13990,214,16,311.3
13992,31,5,76.8
14000,212,15,635.66
14012,278,11,328.8
14021,156,22,631.9
14022,226,28,440.0
14024,122,16,327.7
14027,61,6,104.82
14029,64,15,467.66
14036,285,38,626.65
14037,177,28,147.2
14039,34,6,152.2
14041,267,21,141.41
14045,110,6,1659.75
14046,285,14,154.99
14053,125,4,260.25
14054,66,6,92.46
14055,107,10,725.64
14059,267,8,183.6
14066,267,7,152.55
14068,321,24,265.85
14073,33,13,151.04
14076,130,46,122.47
14079,125,12,375.1
14080,33,4,45.6
14082,365,29,182.25
14089,57,14,161.0
14090,325,1,76.32
14098,37,21,147.35
14100,138,26,194.9
14104,155,21,216.21
14109,73,9,144.2
14114,274,15,386.53
14117,144,3,90.0
14124,85,5,419.58
14142,374,22,311.81
14143,134,7,115.8
14147,79,5,483.4
14148,234,3,157.2
14149,221,28,446.62
14155,267,6,118.75
14162,174,25,289.36
14165,276,25,122.54
14174,34,26,134.46
14176,298,31,576.9
14185,332,3,197.65
14195,202,7,1012.0
14196,107,6,335.52
14199,219,2,185.4
14206,240,20,328.16
14208,95,10,151.74
14212,90,9,1070.48
14218,43,12,169.48
14219,5,7,89.94
14220,248,21,632.4
14236,81,15,490.86
14237,374,9,161.0
14238,327,8,146.85
14241,184,10,213.7
14242,235,16,280.55
14247,279,20,136.77
14248,319,8,302.58
14259,142,5,120.0
14264,155,17,333.97
14270,332,29,492.65
14271,226,10,112.32
14280,197,8,134.04
14287,9,9,176.63
14288,214,16,426.6
14295,41,5,166.2
14300,19,3,43.2
14301,118,13,640.14
14304,223,17,383.45
14311,243,20,310.26
14314,107,8,120.0
14320,207,31,477.79
14326,243,8,183.85
14327,164,12,311.65
14331,125,28,462.66
14333,68,15,415.2
14339,243,14,309.52
14340,219,6,134.7
14345,39,6,108.98
14348,261,18,409.57
14350,275,18,282.93
14351,165,1,51.0
14353,216,6,90.6
14354,6,9,163.62
14355,366,11,174.4
14368,320,8,155.0
14371,296,4,100.5
14373,359,4,76.55
14377,192,11,617.05
14386,297,7,142.4
14393,219,5,67.95
14400,150,25,574.7
14406,120,8,156.75
14411,311,14,1063.0
14413,363,23,122.7
14420,100,29,387.52
14423,219,3,265.2
14424,18,1,322.08
14427,51,17,363.34
14431,303,17,470.36
14436,99,9,89.06
14437,366,5,63.0
14438,307,9,131.9
14453,191,22,119.93
14457,311,4,113.64
14460,111,16,434.34
14463,99,6,529.62
14473,75,7,234.34
14476,258,19,215.7
14479,254,18,316.25
14483,282,9,137.1
14484,51,14,321.92
14489,208,30,463.38
14491,176,17,340.93
14494,26,7,139.56
14495,51,6,123.8
14496,312,19,538.81
14497,310,29,475.37
14500,89,7,356.85
14501,184,10,251.21
14512,188,23,275.28
14513,101,12,455.59
14518,65,16,174.37
14523,109,12,241.09
14536,260,19,171.8
14537,58,10,355.56
14538,65,19,388.25
14542,186,5,103.25
14548,151,4,652.8
14549,312,56,289.24
14551,19,10,186.23
14552,152,58,165.07
14555,58,21,324.14
14570,281,29,218.06
14576,373,1,35.4
14581,17,17,138.6
14582,41,6,114.11
14585,51,29,157.05
14586,277,19,237.36
14589,372,3,39.75
14600,306,25,393.33
14601,11,7,213.96
14603,275,2,660.0
14609,73,4,601.56
14616,243,3,406.08
14619,246,20,394.44
14620,206,26,412.78
14622,185,21,320.58
14624,58,13,225.85
14632,263,8,114.56
14633,267,20,344.9
14638,51,16,443.6
14641,22,7,110.46
14642,59,2,96.12
14647,202,30,243.22
14652,78,29,114.18
14660,87,30,285.74
14661,27,4,107.95
14666,25,14,195.25
14681,72,7,498.95
14682,188,2,52.0
14687,107,15,628.38
14689,209,13,112.8
14693,265,8,172.9
14697,219,22,188.61
14699,215,8,109.13
14705,199,1,179.0
14714,25,10,160.19
14722,148,29,187.92
14727,275,10,268.58
14729,374,71,313.49
14747,250,18,328.2
14752,44,5,389.64
14757,76,19,420.5
14760,298,5,89.2
14761,59,11,255.9
14762,264,21,300.52
14764,47,6,278.3
14768,18,5,192.6
14772,113,9,139.26
14779,281,41,386.15
14782,320,6,200.1
14784,27,15,289.99
14785,11,3,77.4
14789,29,6,197.64
14792,64,2,6.2
14793,22,14,228.99
14795,167,6,131.45
14798,53,12,173.74
14799,52,13,157.7
14806,76,11,193.39
14813,370,30,155.43
14816,198,4,271.85
14819,65,13,272.07
14821,367,2,48.8
14836,11,6,102.45
14840,268,4,62.85
14847,149,13,309.4
14850,312,21,325.75
14853,25,9,475.8
14855,120,20,645.65
14860,20,11,170.32
14861,53,6,125.79
14863,30,11,266.76
14865,8,4,52.2
14870,262,13,327.25
14873,211,28,519.68
14885,132,15,765.32
14886,253,18,364.8
14887,80,6,1862.0
14888,208,20,369.2
14889,337,10,135.9
14890,254,7,125.65
14905,158,17,616.15
14908,75,9,277.8
14915,92,12,307.48
14924,246,10,310.05
14929,33,11,223.88
14946,15,3,100.9
14947,73,14,290.82
14951,80,20,311.69
14957,254,12,58.49
14962,271,5,126.7
14964,248,13,206.21
14967,50,6,463.8
14972,129,18,114.77
14974,38,21,114.39
14975,58,11,279.94
14981,247,8,102.12
14987,16,4,326.4
14988,212,40,334.54
15007,160,12,156.91
15016,173,20,170.04
15017,34,20,125.58
15019,267,70,266.0
15030,72,7,518.28
15035,90,27,252.73
15041,171,67,180.35
15042,200,5,135.93
15043,32,3,537.0
15045,152,12,735.66
15047,270,22,343.62
15049,274,3,121.17
15052,320,30,215.78
15063,214,5,370.8
15070,373,1,106.2
15083,257,5,88.2
15087,282,15,306.94
15090,309,23,381.32
15092,216,26,457.81
15096,43,11,219.39
15099,85,23,410.48
15100,334,3,876.0
15107,312,16,319.5
15109,246,28,484.95
15118,135,1,244.8
15119,246,14,266.4
15120,134,21,358.82
15124,23,15,184.19
15127,66,16,406.53
15130,170,22,330.11
15135,240,9,139.05
15139,240,13,178.96
15143,226,14,259.45
15147,241,28,623.5
15149,134,23,520.8
15158,46,7,401.4
15160,358,4,158.16
15165,374,27,487.75
15167,321,41,163.0
15168,26,5,106.56
15171,332,5,1289.5
15174,323,11,135.75
15175,72,23,224.14
15178,261,3,40.5
15180,368,6,87.5
15185,71,21,310.62
15198,93,10,193.64
15204,358,9,316.58
15210,226,20,331.18
15212,242,5,101.8
15213,319,24,328.35
15216,88,2,96.6
15219,177,9,305.75
15221,367,5,403.25
15222,319,5,585.0
15223,226,20,755.75
15224,359,14,322.08
15225,235,23,409.4
15226,311,8,154.41
15230,240,23,429.6
15234,277,14,197.0
15236,299,15,321.05
15243,75,22,316.68
15246,239,33,514.15
15247,123,6,356.0
15254,128,18,300.36
15256,149,6,98.45
15257,284,7,317.15
15261,136,19,254.82
15262,324,10,178.95
15263,107,12,156.51
15266,339,6,119.3
15269,24,2,408.8
15276,67,52,135.31
15277,47,12,255.9
15279,355,19,290.51
15280,173,16,113.12
15286,50,3,240.55
15292,202,25,180.94
15303,291,31,574.02
15307,96,12,205.3
15308,275,19,310.47
15313,111,1,52.0
15314,200,24,327.97
15316,327,1,165.0
15319,284,16,204.5
15325,104,49,162.29
15326,334,29,311.71
15327,53,10,208.75
15333,209,16,1028.56
15335,54,36,173.97
15342,130,24,406.09
15343,88,21,364.5
15346,333,17,252.42
15347,367,5,201.6
15348,73,9,158.04
15350,374,5,115.65
15355,30,14,277.05
15360,40,13,427.93
15361,362,7,418.92
15363,373,16,326.0
15368,22,4,446.94
15374,129,3,168.0
15381,214,8,596.85
15385,41,12,316.88
15386,187,31,394.14
15389,173,1,500.0
15393,17,12,231.86
15395,326,7,107.45
15396,113,14,288.18
15397,290,6,94.0
15400,93,12,716.2
15405,190,8,349.1
15408,265,34,267.18
15412,172,10,190.53
15419,25,8,135.86
15422,324,6,97.7
15423,39,2,43.5
15424,255,17,383.34
15428,16,6,93.78
15432,24,10,171.19
15437,263,45,200.16
15438,132,25,156.58
15442,249,2,594.0
15445,265,5,113.5
15447,331,9,155.17
15448,313,28,494.64
15454,363,25,179.1
15457,263,58,237.07
15458,26,7,161.64
15460,355,58,216.76
15462,95,11,234.6
15463,30,7,126.14
15488,93,2,91.32
15503,363,70,147.09
15504,82,13,52.83
15510,331,1,250.0
15512,156,7,121.0
15516,45,15,62.43
15517,234,27,267.03
15523,85,10,412.01
15524,25,1,440.0
15526,34,4,148.44
15528,255,26,229.33
15537,164,24,110.92
15541,115,29,85.13
15543,289,28,127.86
15552,218,17,90.12
15554,278,14,217.2
15562,352,1,134.55
15565,51,8,173.16
15567,19,7,186.01
15577,152,39,258.88
15578,163,13,127.1
15585,177,31,455.3
15587,51,9,913.68
15589,256,29,478.53
15593,71,5,199.8
15598,54,14,240.68
15603,79,2,48.48
15604,53,17,216.39
15607,337,13,104.76
15609,185,16,298.48
15610,52,6,112.46
15612,37,6,195.15
15619,11,3,336.4
15623,142,19,301.03
15637,53,15,223.36
15639,135,25,425.32
15646,158,35,447.64
15648,205,25,657.35
15649,337,2,816.0
15652,92,21,337.74
15653,93,6,877.44
15655,244,34,560.67
15657,23,1,30.0
15659,44,11,306.45
15661,318,5,309.8
15663,107,9,138.14
15664,51,17,386.43
15667,40,13,301.32
15668,218,1,76.32
15670,297,12,173.05
15675,82,21,323.69
15678,53,12,352.7
15683,118,10,193.75
15689,120,9,254.1
15691,253,2,136.8
15692,29,12,191.04
15695,267,22,409.98
15703,265,5,211.5
15705,202,6,143.1
15709,284,6,133.25
15713,144,19,356.7
15717,235,7,150.3
15723,365,41,203.1
15724,202,11,218.25
15729,213,5,85.0
15732,213,14,294.12
15733,283,10,162.3
15739,67,8,449.12
15740,50,9,154.88
15744,78,3,34.8
15746,135,28,196.88
15748,41,21,149.31
15753,305,1,79.2
15758,25,9,205.25
15759,219,7,253.04
15766,65,11,315.06
15774,69,25,270.8
15775,246,7,104.9
15776,134,18,241.62
15777,242,21,1047.11
15780,184,29,475.28
15789,359,25,351.3
15802,143,1,451.42
15803,52,8,415.82
15820,320,17,206.98
15823,373,1,15.0
15825,173,20,532.94
15836,51,10,137.37
15843,304,8,118.95
15844,47,11,130.74
15852,187,22,160.71
15853,52,30,110.8
15863,26,18,68.84
15866,102,45,230.53
15869,278,15,149.64
15881,313,29,501.39
15882,199,23,516.36
15885,93,18,379.35
15886,61,12,181.09
15888,81,12,168.31
15894,254,41,263.55
15895,150,11,179.17
15897,195,24,222.05
15899,369,4,56.25
15909,174,7,191.94
15912,179,19,264.62
15917,248,12,123.1
15918,191,40,334.23
15920,155,60,167.5
15921,173,25,336.03
15922,374,11,369.5
15923,373,21,127.08
15925,195,12,207.15
15930,68,21,426.63
15935,240,12,416.86
15937,65,7,145.35
15938,113,18,404.58
15940,312,1,35.8
15942,134,14,337.44
15944,277,6,325.1
15945,366,2,181.0
15958,75,7,104.35
15970,304,11,314.1
15973,367,4,307.82
15975,85,24,371.01
15986,31,14,168.12
15992,4,3,41.99
16006,212,8,101.4
16030,310,29,331.24
16034,197,22,437.7
16048,374,8,256.44
16050,174,10,137.9
16055,221,8,134.8
16063,261,23,335.32
16072,289,23,584.32
16073,298,1,122.4
16078,284,1,79.2
16080,82,10,217.16
16084,300,38,436.18
16091,155,18,315.06
16093,107,1,17.0
16096,265,12,320.62
16097,241,10,185.05
16105,249,13,336.96
16106,66,6,108.38
16109,219,18,611.88
16112,144,16,195.74
16113,184,30,161.38
16114,171,8,135.75
16117,190,30,232.21
16123,52,16,307.78
16124,318,11,249.0
16125,368,13,289.35
16135,263,21,517.55
16142,250,37,535.34
16144,247,1,175.2
16147,134,22,375.0
16148,297,1,76.32
16159,282,14,348.2
16162,253,2,37.4
16163,233,6,856.6
16171,60,3,73.2
16177,51,15,331.95
16178,139,8,197.9
16179,61,11,215.83
16181,74,11,305.54
16183,68,15,338.71
16189,16,11,215.48
16190,41,6,215.08
16193,237,19,314.45
16198,76,15,400.68
16202,361,18,365.27
16213,79,6,159.0
16215,81,14,242.35
16217,236,15,304.25
16226,204,8,255.12
16227,226,6,314.22
16236,79,20,432.2
16239,57,19,414.2
16247,171,16,114.56
16248,62,7,152.94
16250,262,24,389.44
16256,267,13,752.43
16257,177,2,46.95
16272,117,25,411.7
16274,374,67,357.95
16275,197,33,559.87
16276,177,6,810.6
16282,340,11,168.3
16287,170,8,142.5
16292,122,17,302.25
16297,269,20,301.9
16302,127,11,233.22
16305,139,22,361.22
16315,331,14,226.37
16319,218,3,404.4
16323,197,1,207.5
16337,37,10,151.05
16338,158,11,214.8
16339,285,20,109.95
16342,76,15,322.41
16344,159,2,101.1
16349,291,9,53.5
16351,333,8,153.9
16356,198,31,211.77
16363,54,5,109.36
16377,268,5,676.2
16378,248,23,362.95
16387,323,4,94.36
16392,270,45,221.19
16400,95,29,303.93
16402,265,60,299.6
16403,313,10,177.5
16405,303,5,167.25
16412,54,35,151.83
16414,22,7,126.25
16424,192,5,133.56
16425,303,21,302.7
16427,264,9,241.06
16429,107,2,284.55
16430,58,6,300.85
16432,65,8,287.4
16433,29,17,184.26
16447,136,36,259.01
16448,199,20,188.89
16450,150,11,311.92
16451,88,14,266.97
16454,45,2,6.9
16457,219,9,208.36
16461,178,33,151.42
16462,74,3,136.0
16468,75,2,74.9
16471,275,13,223.95
16473,165,18,316.11
16483,193,19,139.35
16484,174,25,404.3
16498,162,15,100.97
16499,361,19,365.45
16505,32,4,777.6
16506,20,3,90.3
16509,297,13,363.7
16510,373,13,248.1
16516,31,6,101.7
16517,278,17,162.7
16519,26,13,215.08
16526,172,15,290.36
16527,82,14,228.06
16529,191,30,455.25
16542,54,5,119.62
16545,165,3,339.3
16546,291,25,787.15
16552,243,17,379.73
16555,36,17,285.89
16557,25,11,281.85
16565,365,3,173.7
16569,4,5,124.2
16581,183,9,105.84
16582,114,6,313.62
16583,374,14,233.45
16586,249,8,463.95
16587,233,13,225.15
16591,69,10,213.5
16596,16,12,250.15
16597,5,7,90.04
16598,286,10,145.05
16610,220,6,75.66
16611,187,10,129.49
16614,183,26,506.19
16617,236,5,151.85
16619,264,14,226.21
16623,246,5,129.45
16625,275,23,333.08
16627,80,20,322.8
16634,223,9,217.9
16641,106,12,231.1
16643,246,27,487.51
16647,170,14,214.06
16648,43,19,290.66
16658,369,8,123.24
16659,190,2,39.12
16665,363,9,135.4
16679,367,3,129.75
16680,44,10,183.7
16689,76,13,422.6
16690,73,12,225.58
16692,257,3,1276.0
16696,136,10,657.9
16697,242,21,112.75
16698,227,5,1998.0
16715,79,19,301.72
16716,267,2,901.2
16718,370,45,623.75
16721,263,37,292.47
16727,365,46,272.82
16737,54,1,417.6
16738,298,1,3.75
16739,177,13,323.0
16742,47,1,464.9
16752,373,9,207.5
16754,373,2,2002.4
16756,215,13,239.4
16757,319,7,106.83
16758,66,22,369.34
16761,97,13,316.62
16763,199,23,611.85
16765,295,1,34.0
16769,261,40,380.39
16773,58,26,171.59
16778,75,16,245.94
16781,373,17,311.25
16784,20,3,107.6
16789,9,5,80.8
16792,283,12,110.38
16793,58,16,243.84
16796,90,18,305.62
16803,66,24,332.3
16808,100,23,288.42
16810,193,15,309.54
16812,361,15,479.35
16816,104,28,417.06
16823,228,38,358.38
16828,94,8,128.5
16829,157,11,197.22
16832,185,12,199.15
16834,228,24,413.46
16835,129,10,180.85
16836,40,11,251.87
16838,198,25,588.85
16846,51,11,214.32
16847,44,12,193.44
16848,53,14,281.42
16849,187,8,124.57
16850,334,19,332.41
16852,11,9,144.91
16856,15,2,35.4
16858,369,10,375.69
16861,60,6,173.76
16866,141,11,207.74
16872,78,7,680.02
16878,85,3,13.3
16881,67,1,432.0
16883,188,38,276.73
16893,367,45,145.93
16897,300,37,289.78
16909,73,18,379.14
16913,291,8,113.44
16917,277,9,391.52
16926,372,14,230.25
16927,116,6,543.05
16947,236,21,406.48
16948,139,19,435.02
16952,110,16,167.61
16953,31,1,20.8
16955,185,25,518.67
16957,240,16,416.64
16959,88,7,117.35
16961,117,14,234.17
16963,188,7,110.55
16965,227,26,201.19
16967,190,21,319.02
16976,268,2,251.52
16986,30,3,1873.2
16988,6,7,126.12
16990,219,1,179.0
16997,289,12,702.0
16998,150,4,295.0
17010,19,11,195.36
17011,31,15,270.9
17022,32,7,71.0
17024,46,3,95.85
17025,61,9,357.77
17026,186,4,154.83
17029,111,2,716.0
17030,64,11,146.87
17035,246,28,433.53
17038,31,22,112.4
17040,138,15,449.73
17044,26,6,948.48
17045,114,22,339.44
17046,158,22,642.02
17051,195,43,247.14
17053,131,13,498.48
17060,267,5,234.24
17079,79,2,118.8
17080,23,8,287.62
17094,323,14,302.0
17102,262,1,25.5
17110,166,12,163.3
17117,289,9,116.2
17118,318,10,157.02
17120,234,18,307.46
17122,120,7,138.32
17123,162,9,345.3
17124,186,32,298.89
17128,335,14,157.09
17134,107,24,425.0
17138,276,24,380.5
17140,248,20,465.32
17142,240,15,579.0
17148,52,9,124.88
17153,25,14,213.78
17154,76,23,329.34
17163,22,5,293.1
17165,285,10,158.68
17166,39,12,206.34
17171,290,16,224.91
17172,79,15,317.76
17174,218,4,59.9
17176,202,15,306.13
17181,58,23,239.92
17186,47,2,144.0
17187,227,10,203.95
17194,274,29,262.62
17205,54,13,384.08
17206,54,7,204.24
17212,254,4,226.85
17217,235,9,113.5
17219,32,25,114.23
17223,311,49,426.79
17226,309,21,393.49
17233,36,25,190.88
17234,183,14,149.89
17239,313,15,382.5
17245,205,9,171.45
17251,363,39,283.28
17253,19,18,178.26
17256,108,16,240.0
17263,209,23,63.44
17267,128,38,317.62
17268,108,6,763.64
17274,36,27,111.98
17278,242,15,246.04
17279,58,9,187.83
17291,309,1,550.8
17303,362,53,250.04
17309,96,12,82.75
17312,139,14,644.3
17325,281,6,96.8
17330,23,6,363.9
17331,124,1,175.2
17334,303,11,307.02
17339,95,9,243.36
17343,356,17,193.64
17344,47,32,160.57
17347,87,1,228.96
17349,180,9,110.75
17353,130,8,1740.0
17356,312,19,178.22
17358,304,59,365.85
17359,12,15,127.86
17362,240,35,312.23
17367,239,34,168.4
17374,219,28,495.77
17376,71,24,203.2
17382,66,2,65.4
17391,164,3,508.8
17394,220,4,203.87
17408,164,2,32.65
17409,185,13,771.85
17414,44,6,778.0
17415,80,14,507.84
17427,72,2,100.8
17430,33,14,265.76
17431,314,43,403.3
17438,254,17,388.45
17440,157,5,186.42
17446,177,9,120.9
17455,204,8,131.7
17456,366,17,249.86
17464,159,9,289.96
17468,11,5,137.0
17475,80,14,194.37
17483,66,21,414.04
17486,262,24,396.87
17492,249,12,374.57
17496,359,10,271.05
17498,76,17,272.22
17501,221,18,288.6
17506,76,14,302.2
17513,73,6,513.2
17514,129,40,208.65
17517,309,11,153.94
17524,362,6,145.0
17525,360,9,422.7
17531,191,14,296.7
17534,54,9,223.36
17535,281,13,164.4
17536,178,3,76.5
17538,26,9,98.42
17542,270,25,170.75
17548,234,5,103.3
17549,24,6,148.86
17550,198,42,267.16
17551,360,43,306.84
17553,130,2,1487.6
17556,206,6,157.9
17569,333,29,344.14
17572,72,12,226.75
17574,243,8,185.65
17578,219,5,143.46
17580,253,45,215.72
17582,237,29,175.27
17600,18,13,161.67
17601,240,9,116.01
17603,79,11,394.72
17615,131,14,329.6
17616,174,3,571.2
17619,313,77,218.52
17620,60,4,81.44
17628,82,5,75.75
17630,170,26,503.6
17639,277,7,108.5
17640,87,5,621.66
17643,374,8,101.55
17647,66,7,133.06
17650,22,8,166.08
17654,278,22,117.55
17660,142,45,196.0
17670,228,11,205.7
17678,264,16,298.11
17680,24,11,184.4
17684,44,15,239.41
17691,359,19,290.4
17693,138,16,200.47
17694,142,15,283.12
17697,237,19,338.95
17698,261,8,154.95
17701,253,24,417.95
17707,186,5,152.4
17708,188,35,267.08
17709,170,7,137.45
17714,321,10,153.0
17715,201,1,326.4
17718,233,6,139.35
17732,373,18,303.97
17737,10,10,168.24
17742,114,15,355.11
17746,241,6,110.25
17747,113,1,71.4
17752,360,1,80.64
17763,264,1,15.0
17775,255,3,56.4
17781,160,12,188.02
17785,54,13,131.94
17788,74,5,1117.9
17789,282,14,225.9
17791,30,10,106.1
17795,180,46,350.39
17805,74,10,512.31
17816,37,17,36.56
17824,52,13,298.4
17831,34,2,35.4
17836,48,24,110.21
17843,304,37,205.48
17846,86,1,2033.1
17849,219,26,605.8
17854,186,15,311.26
17855,373,17,208.97
17859,305,25,148.21
17860,369,58,252.8
17862,324,11,330.9
17866,143,9,329.65
17871,205,10,155.9
17877,171,12,237.61
17879,174,6,178.52
17880,365,26,458.92
17881,305,8,133.35
17887,130,10,111.35
17889,213,21,203.87
17891,163,34,203.86
17892,57,28,244.1
17893,226,16,112.25
17895,45,16,98.0
17896,24,2,256.32
17898,86,28,152.06
17899,160,32,155.8
17900,191,6,112.2
17901,30,19,110.38
17906,248,12,72.9
17908,374,58,243.28
17912,311,38,311.01
17923,283,1,207.5
17925,373,1,244.08
17926,134,21,397.29
17928,46,23,212.54
17935,139,29,145.79
17939,160,12,99.14
17941,131,2,304.56
17942,8,2,77.5
17946,234,20,149.58
17947,38,9,176.68
17948,148,1,358.56
17955,199,19,557.3
17956,250,1,12.75
17957,67,31,111.68
17958,117,7,508.46
17960,172,26,73.78
17962,143,35,102.83
17967,372,48,123.07
17968,374,85,277.35
17969,167,14,228.2
17970,212,31,582.59
17972,242,31,136.04
17973,52,15,337.04
17976,373,65,353.19
